,Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path,FolderID,Frame Number
481,"111.29298394941634,167.61480119163426","107.27960086332685,165.8861107733463","34.138075297908564,207.4143816877432","96.07671145428016,171.6266111381323","37.400090436527236,218.90480605544747","63.72224966561284,231.15880350194553","89.21596090710116,184.84960177529183","109.03662299367704,185.62639834630352","14.895271271583171,233.71943397373542","115.68357855058366,227.0338642996109","-0.5992666162869346,237.27675097276264","101.93411053015565,233.00098796206225","76.23885122811284,234.07011490758754","107.5013451483463,171.9945890077821","96.60117491488327,161.006702942607","118.49987080496109,226.8474738570039","106.14099738570039,225.67315175097278",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_flipped\4_148.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_flipped,4
483,"212.24496899319067,219.99116913910507","209.9530186040856,215.75452942607004","154.25144394455253,169.12376884727627","208.54380471789884,216.00328307392996","159.8490849951362,174.2716743677043","187.49217230058366,197.60369041828795","172.2054505107004,201.74784168287937","230.68598005836577,236.57291160019454","136.92315175097278,222.4358888618677","135.53793774319067,223.6310493677043","140.11100133754863,226.31815418287937","176.23446619649806,233.64828550583658","161.26065479085602,232.7403939688716","148.591485286965,167.99106274319067","167.91131140564204,165.96487414883268","139.51956164883268,227.2616123540856","139.6553228356031,229.2033377918288",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original\0_124.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original,0
484,"211.3417436770428,217.83013132295721","210.5502340710117,209.28939688715954","154.75566938229574,165.66576483463035","207.4082259241245,212.7605027966926","161.15970026750972,172.51287390564204","207.1657800340467,234.80526507782102","174.87226410505838,171.79894212062257","229.2065904669261,236.5760882782101","133.87615515564204,219.87063776750972","136.85777906128405,224.33864299610894","69.53522464737354,215.7317910992218","175.91460967898834,232.3734952577821","159.9408590710117,230.83668227140078","148.52216074902725,166.86215649319067","169.06034168287937,165.76670415856032","137.1917254377432,227.97802164396887","139.86796267023345,230.3692698200389",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original\1_130.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original,1
486,"213.306906614786,219.26073078793775","210.95221303501947,214.87001459143968","153.88656675583658,169.20353538424123","209.3570494892996,215.36688351167317","160.310280885214,174.77390868190662","189.314141536965,200.0254742217899","175.38723553015564,202.4861989299611","232.71213825389106,236.25156553988327","140.4916859192607,221.4323017996109","140.6165339250973,223.0850407344358","140.41196498054475,228.15918348735408","110.97922239785993,211.7727839250973","101.92775717412451,220.52004803015564","71.67242217898833,207.99615454766538","64.18336575875486,216.24875364785993","139.18619285019454,227.54953489785993","138.4878860651751,230.0304292315175",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original\2_136.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original,2
485,"213.88898346303503,220.1589402966926","211.31274319066148,215.85549914883268","153.78356031128405,172.74214190175098","210.21002553501947,215.34571072470817","158.8731304717899,173.8305265077821","207.69332137645915,238.12071376459144","173.8498449659533,189.75130714980546","144.28105240758754,183.89903027723736","142.44741001945525,221.39638557879377","257.91315053501944,235.2727839250973","137.22785445038912,228.00618616245137","173.24925522859922,233.3567303015564","158.77933487354085,233.0014287451362","156.95888557879377,166.43859435797665","167.98203428988327,165.64330009727627","139.71596850680933,226.2401507782101","137.94485651750972,230.51173394941634",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original\3_142.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original,3
487,"150.47446498054475,170.26510821984436","212.09289883268482,216.6538484922179","150.98031675583658,173.60935980058366","212.40143178501947,216.11189810311285","156.86695950875486,174.63746352140078","208.16661600194553,237.87085055933852","174.66848553015564,202.7095391536965","230.03793774319067,236.06409593871595","59.4261764348249,181.63136855544747","257.8190661478599,235.3540400048638","141.97607611867704,223.82546510214007","66.74420902237354,189.05947531614785","63.46670947835603,188.40191816634243","67.39110378161479,200.43228660019454","65.81842017266537,213.07639226653697","67.99727170476653,211.88487962062257","66.84967777237354,211.4268148103113",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original\4_148.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original,4
488,"107.92675401264592,169.15439567120623","105.60563594357977,164.01617217898834","40.063001580739304,213.90652358949416","98.43471090710116,168.9092290856031","41.44227641658561,216.7131262159533","61.9547627371109,227.94833718385215","77.99826726653697,166.06152723735408","106.41387250729572,179.71458535992218","55.68108204644942,231.57327638618676","116.27938807149806,226.06064567120623","1.3605642355833536,236.82475072957197","101.81227960846303,232.47818883754863","79.18776598978599,233.2071376459144","92.01706134484436,163.36914822470817","91.40712396643968,162.35642631322958","116.65398528696498,226.89217534046693","105.93667923151752,225.85121291342412",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped\0_8.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped,0
489,"108.34019333657588,169.09147008754863","105.51048759727627,164.1151811770428","41.47194187743191,214.4249908803502","98.35873662451363,168.94677164396887","43.60787785749027,216.2011946741245","61.16052863570039,227.80567546206225","77.52967686040856,166.25723492217898","108.75699173151752,189.0484861381323","56.034149288667315,232.19935554474708","115.48492217898833,225.6114117217899","1.9798335806405034,236.29233037451363","102.92141901750973,232.69660445038912","79.41369011429961,233.7793196741245","109.13391445768482,180.6018512889105","92.39811831225681,163.0901325389105","116.1397282344358,227.28622020914398","106.13205252918289,226.12952942607004",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped\1_14.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped,1
490,"110.56622385700389,167.83014652237355","106.51041160019456,163.06555508268482","39.97098051434825,214.14483523832686","98.49506018968872,169.37203611381324","43.098959599951364,217.95204584143968","63.134526234192606,228.1480423151751","87.23547695768482,184.04910931420233","109.15322531614787,191.96944917315176","56.173953520184824,231.2595300340467","116.66074902723736,227.82198443579767","1.0665593128723858,236.61893543287937","101.97764165856032,232.56398954280155","78.35540795233463,233.56111685311285","93.58643148103113,161.12024258268482","92.83709265564202,160.1426009241245","117.51481943093385,225.62586636673151","105.47356061527238,225.09169807879377",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped\2_20.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped,2
491,"110.66053623540856,167.5596273103113","106.80114603599222,165.455921692607","116.5502568701362,164.95110347762648","97.32464433365759,171.90874270428017","40.5629749817607,218.94879316634243","61.38507721303502,230.75732611867704","90.11703550583658,180.68905034046693","130.56219601167317,223.6583931177043","55.429866093142024,232.5244406614786","116.3809657709144,227.50998601653697","1.486882784951058,237.6028240515564","102.16896431177042,233.45034350680933","79.75372385700389,232.9791767996109","193.74413302529183,212.7221090710117","187.16071862840468,203.38574598735408","117.27170476653697,226.11914822470817","116.1998267266537,221.26229632782102",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped\3_26.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped,3
492,"109.70550370865759,167.32964494163426","106.49425462062257,165.95096668287937","110.50693093385215,164.91242096303503","95.59938138375486,171.64298090953307","40.409377279912455,218.70561770428017","61.715774714250976,229.53147799124514","91.41491366731518,168.57560189688715","117.07485712548639,219.02141597762648","56.32685584873541,231.97169868677042","115.63662755350195,228.04879012645915","1.7295991771415977,237.03392509727627","102.32235682149806,233.2279912451362","79.70345938715954,233.4157800340467","194.59297482976655,214.5829584143969","97.33457715223736,160.37563837548637","116.00133754863813,226.1346820282101","117.0721592290856,220.12386004377433",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped\4_32.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped,4
494,"213.55956651264592,217.69646765564204","211.70487293287937,214.79942850194553","212.3629924610895,207.4631870136187","209.5717412451362,213.46976836089493","156.02588460603113,164.7279304474708","205.43091865272373,236.39054900291828","198.8569734922179,230.7298151750973","144.20303380350194,182.83519272859922","144.77361989299612,185.90573321984436","258.05377553501944,235.77764773832686","141.88375486381324,221.57354997568095","175.13635396400778,222.8016780155642","158.94619406614785,230.38501641536965","148.48943640564204,170.1086606274319","170.19104146400778,165.68833596789884","137.69590527723736,224.11709630350194","137.3763223492218,225.36630593385215",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original\0_8.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original,0
493,"214.1810098492218,218.35042254377433","212.5298820525292,215.29517266536965","153.67213339007782,174.29305994649806","210.51598978599222,214.48325024319067","156.70332259241246,166.00167193579767","206.82040369649806,237.14197774805447","173.68377614299612,187.34367400291828","144.30412512159532,183.44414214494165","144.54222397859922,186.55994649805447","256.8221668287938,235.94392935311285","141.5207928015564,220.98177589980546","179.64384727626458,232.9947258025292","160.62759910019454,231.95145306420233","148.7913120136187,170.38255410992218","168.22872081712063,165.9325905885214","140.38466682879377,223.06005289396887","136.86107733463035,226.2927559581712",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original\1_14.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original,1
495,"147.87167132782102,171.59268604085602","212.2560493677043,215.048562135214","149.13177893968873,173.7156037208171","209.7962214250973,213.73898042315176","155.14439445525292,173.54760457198444","162.16726957684824,188.0306420233463","170.7478112840467,188.53869771400778","143.55538667315176,184.09682028210116","142.09099890564204,187.9431997811284","135.91343932392996,221.0143330496109","142.76740333171207,221.0183152966926","178.2486016536965,235.74992400291828","160.39070099708172,235.78868251459144","148.49916403210116,169.36955860894943","153.15473005836577,168.72356821498056","139.3138679474708,226.44701483463035","138.35323443579767,227.82275960603113",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original\2_20.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original,2
496,"147.48176070038912,167.3006748540856","211.2771309581712,215.38636916342412","150.12303927529183,168.6894759241245","210.0997689688716,214.6939445525292","157.8147951118677,174.08177285992218","208.15248054474708,236.26570099708172","160.057484192607,190.475407344358","228.67053745136187,234.92816755836577","140.49785688229574,223.89937986381324","257.26757052529183,235.44838278210116","140.08970695525292,227.7547270184825","177.92996108949416,236.8288849708171","159.8980423151751,234.8268026507782","146.60552954766538,168.4471060311284","67.97741366731518,214.48439019941634","138.68135943579767,228.9897555933852","137.98876763132296,231.10236806906616",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original\3_26.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original,3
497,"148.9022373540856,168.5673334143969","210.34040612840468,215.23451179474708","149.41840953307394,169.11650352626458","209.12551678015564,214.30003647859922","157.25407344357976,173.56333596789884","207.45379377431908,236.0992369892996","171.60125851167317,201.7693488570039","228.11442120622567,235.32502431906616","138.66679839494162,224.0053349951362","256.93181541828795,235.34672908560313","66.87693032587549,212.37738630836577","174.81040248054475,236.6862080496109","159.53954888132296,235.94862597276264","147.54182879377433,169.07689384727627","68.40069461332685,216.3088825389105","139.8834204766537,228.77378708657588","138.74343385214007,230.99468020428017",ClamShells,..\Python\dataset\ClamShells\Side-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original\4_32.jpg,datasetClamShellsSide-Lying Clamshell - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original,4
996,"60.95955435311284,195.4540521643969","56.8428266354572,197.9989968385214","58.13423364542802,192.6142084143969","52.808608949416346,204.02849890564204","67.60549154912451,180.6553532344358","71.34183487354086,197.3441755836576","76.71393178501945,194.56637585116732","91.88195373297665,224.4310554474708","96.01138436284047,219.94991792315176","133.11846425097278,230.94576848249028","137.5476957684825,227.38419564688715","87.0974966561284,199.95605848735408","109.6738813229572,177.41597762645915","85.50737171692607,223.09843142023345","169.02334630350194,125.93843476410505","172.5289548881323,201.38658195525292","174.7892752918288,200.33259362840468",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\0_59.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,0
999,"60.235461758268485,196.579766536965","53.61013497081712,198.64655277237355","54.80569826118677,194.42479328793775","57.86587275048638,198.31824537937743","65.62999300826849,182.0017935311284","73.58991974708171,197.20421935797665","78.36932301799611,195.43467290856032","92.68935432879377,225.54983888618676","94.36958140807393,222.07771461575877","131.07666585603113,230.8672938959144","124.26128556663424,231.97023954280155","96.32918895914398,210.31512949902725","122.13507721303502,172.85144090466926","83.89418926313229,222.0878070282101","165.69658925097278,125.41986107733463","172.99495379377433,202.02377188715954","176.61285566634243,201.06502310311285",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\1_65.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,1
1001,"59.85035414640078,200.31996291342412","52.96752644698444,198.7376276750973","54.02759834022373,193.9124057636187","52.802407587548636,203.8377614299611","57.03909669868677,186.05955131322958","74.4735530155642,206.0259150048638","77.65974586575875,196.24510578793775","94.034312682393,227.3898650291829","96.4829234557393,221.68268178501947","135.16120500972764,230.02255593385215","127.44585967898833,232.95808000972764","122.17419291099222,185.36186770428017","127.19745561770428,184.16956468871595","83.3488950024319,221.85242886673151","166.7699568336576,132.4564840710117","170.40684277723736,202.59809703307394","177.02061040856032,201.5512068336576",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\2_71.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,2
1000,"61.69822318822957,203.64006262159532","54.20867658681907,198.84031493190662","56.299888284289885,194.67763557879377","55.677947166828794,203.77614299610894","65.43421692607004,183.5697045233463","82.17819035749028,207.03602261673151","75.34672148589495,196.06313837548637","97.1166859192607,229.2688776750973","95.9317470209144,224.4096090710117","137.05797057392996,230.9572440418288","138.39389287451363,230.96873480058366","129.27520063229574,190.2052377188716","129.40254134241246,184.8471546692607","94.45453854571984,219.50797969357976","104.80951331468872,229.0637615515564","175.4827638618677,203.87633754863813","174.9085755107004,202.74165552042803",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\3_77.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,3
1002,"59.94174063715953,198.38725072957197","54.154186679231515,197.46087670233464","54.82476592898833,193.37585116731518","55.4596987475681,203.10619832198444","57.5776234192607,187.27450145914398","73.72247385700389,207.90208535992218","76.99050036478599,195.77170476653697","99.27173516536965,230.78237475680933","98.17904152480546,226.10296084630352","136.4177863570039,231.29910931420233","140.5851471303502,231.49562256809338","131.70215223735408,191.78907769941634","133.90673638132296,187.3112080496109","83.30695981274319,219.6976380107004","106.5991609922179,228.959827942607","173.72654730058366,203.82347397859922","174.346546692607,202.77477504863813",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\4_83.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,4
1003,"197.76971364299612,210.33405277237355","201.6907526750973,205.681329036965","203.23404061284046,208.2273224708171","197.21923638132296,190.62381444552528","184.56295598249028,188.82613387645915","178.59422118190662,186.85479997568095","178.0683365758755,208.5437895184825","161.98314384727627,221.6302285992218","161.66711758268482,227.97976957684824","136.95472093871595,227.7233706225681","133.19017509727627,230.2525839007782","130.33839980544747,168.77269272859922","133.08915977626458,170.57406675583658","89.46490454766537,124.86626033560312","91.45738083657588,125.00667254377431","84.61705070525292,200.42646522373542","78.12297087791829,197.68332016050584",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original\0_59.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original,0
1004,"200.06338156614785,208.79310554474708","200.39190175097278,198.38738752431908","199.02000243190662,198.08257842898834","195.77313351167317,189.94616366731518","186.02643178501947,188.19104146400778","177.90175097276264,189.4158864299611","180.76331468871595,206.93213460603113","161.68686162451363,222.64092898832686","160.61373723249028,229.12244649805447","179.52130958171207,183.96625729571986","178.10633511673151,181.1398042315175","128.73881322957197,171.26564019941634","131.2082472033074,172.743297057393","89.12743950632296,126.74561496838521","91.13313928745136,126.98495257782102","83.40824872324903,200.6389682636187","78.72340102140078,196.74347945038912",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original\1_65.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original,1
1005,"203.3309824902724,209.57005410992218","202.30789457684824,199.5606760700389","203.17327334630352,204.66363691634243","194.54976288910507,191.72119710603113","188.34020853599222,190.2448777966926","180.01636977140078,189.58429596303503","180.94053988326849,205.68888314688715","160.103204036965,222.5745075389105","159.3733888618677,230.17602444066148","137.41798394941634,227.5661934581712","135.10960299124514,229.69920355058366","124.07960694309338,182.9145640807393","120.97755046206225,184.87509119649806","84.86198169990273,131.66942789396887","87.37290248054475,132.20969114785993","132.95659046692606,222.23495257782102","93.56465071741245,182.75889165856032",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original\2_71.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original,2
1006,"203.53102200875486,211.62145853599222","205.95263861867704,205.93473370622567","201.7409715466926,206.03813533560313","193.4281827577821,195.00442303015564","91.53717017266537,120.55385913180935","180.8948200389105,188.67049185311285","176.26051799610894,190.7549398103113","167.39934946498056,225.17967230058366","95.97890321011673,189.24205070525292","183.83276082198444,206.0409624270428","124.95376337548639,234.19269820038912","121.90245774562257,185.4242765077821","115.38438563959144,188.2876945525292","164.64737354085602,220.70406736381324","170.6396218385214,222.5768634484436","124.50788849708171,221.30488509241246","123.42434490515565,222.040172057393",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original\3_77.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original,3
1007,"201.81303197957197,209.25579097762648","204.87688472762648,204.23876763132296","200.24224829766538,204.43734800583658","191.76564019941634,194.03942728599222","186.8116032344358,191.80053805933852","180.736016536965,188.49844965953307","177.9189719114786,190.10654790856032","168.5637615515564,224.2543318336576","98.41602322470817,191.1455648103113","185.5105027966926,206.83405277237355","123.36990059581713,233.57657465953307","121.74066755836576,187.2541190418288","116.04715618920234,189.68508329280155","165.41450328307394,220.65871230544747","171.6467199659533,221.63337487840468","118.89332289640078,225.98583414396887","115.91885031614787,226.90930508268482",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original\4_83.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original,4
1008,"61.69822318822957,203.64006262159532","54.20867658681907,198.84031493190662","56.299888284289885,194.67763557879377","55.677947166828794,203.77614299610894","65.43421692607004,183.5697045233463","82.17819035749028,207.03602261673151","75.34672148589495,196.06313837548637","97.1166859192607,229.2688776750973","95.9317470209144,224.4096090710117","137.05797057392996,230.9572440418288","138.39389287451363,230.96873480058366","129.27520063229574,190.2052377188716","129.40254134241246,184.8471546692607","94.45453854571984,219.50797969357976","104.80951331468872,229.0637615515564","175.4827638618677,203.87633754863813","174.9085755107004,202.74165552042803",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped\0_77.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped,0
1009,"59.94174063715953,198.38725072957197","54.154186679231515,197.46087670233464","54.82476592898833,193.37585116731518","55.4596987475681,203.10619832198444","57.5776234192607,187.27450145914398","73.72247385700389,207.90208535992218","76.99050036478599,195.77170476653697","99.27173516536965,230.78237475680933","98.17904152480546,226.10296084630352","136.4177863570039,231.29910931420233","140.5851471303502,231.49562256809338","131.70215223735408,191.78907769941634","133.90673638132296,187.3112080496109","83.30695981274319,219.6976380107004","106.5991609922179,228.959827942607","173.72654730058366,203.82347397859922","174.346546692607,202.77477504863813",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped\1_83.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped,1
1010,"59.20927316391051,202.39182575389106","53.97479936770428,199.7345877918288","53.378761855544745,194.57423394941634","59.00665354450389,199.3541767996109","64.98050674854086,181.9096090710117","75.49210390321012,205.21747324902725","76.61664032101167,194.0784441877432","93.16257295719845,224.9485347762646","94.466219297179,221.16729997568095","129.91520245622567,230.78039883268482","174.10092412451363,196.71630289396887","98.78964767752919,208.64354328793775","124.18594205982491,176.6726957684825","84.16068822957199,223.041281614786","165.56383754863813,128.19433973735408","172.09502675097278,201.3160110651751","176.8218476410506,200.27240393968873",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped\2_89.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped,2
1011,"59.91619041828794,195.57066208657588","55.49550857247082,199.135563594358","57.65488965223736,193.7426130836576","52.44383815661479,203.13702273832686","67.70098188229572,180.79419990272373","70.91462487840467,195.71476775291828","76.70209143968872,194.75051678015564","90.54472428258755,224.60043774319067","94.08647707928016,220.0494133025292","128.56709022373542,231.02290552042803","137.83738144455253,227.28374270428017","91.68636004377431,200.26740333171207","105.78949568336576,175.20931116245137","167.9172087791829,126.44661964980546","169.07964494163426,124.48697410019456","173.05977930447472,201.39881748540856","175.39059460116732,200.27337670233464",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped\3_95.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped,3
1012,"61.3125531979572,193.77349829766538","56.10593233219844,198.95852079280155","58.10416160019455,193.89845269941634","58.72377340710117,199.8216804474708","60.77089159776265,191.47609131809338","69.63151294990273,205.1422361381323","78.15732915856032,193.43339615758754","91.37018178501945,224.70808000972764","95.63844388375486,219.10147130350194","127.80964250972762,231.1793987110895","138.4746929717899,227.2886673151751","90.92960390321012,199.9941634241245","107.13311648832685,174.78746656128405","167.78661539396887,127.49956681663424","168.72329462548637,124.97920719844358","173.3618069066148,201.78480666342412","175.64690235894943,200.6372203307393",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped\4_101.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_flipped,4
1013,"203.53102200875486,211.62145853599222","205.95263861867704,205.93473370622567","201.7409715466926,206.03813533560313","193.4281827577821,195.00442303015564","91.53717017266537,120.55385913180935","180.8948200389105,188.67049185311285","176.26051799610894,190.7549398103113","167.39934946498056,225.17967230058366","95.97890321011673,189.24205070525292","183.83276082198444,206.0409624270428","124.95376337548639,234.19269820038912","121.90245774562257,185.4242765077821","115.38438563959144,188.2876945525292","164.64737354085602,220.70406736381324","170.6396218385214,222.5768634484436","124.50788849708171,221.30488509241246","123.42434490515565,222.040172057393",GluteBridge,..\Python\dataset\GluteBridge\10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_original\0_77.jpg,datasetGluteBridge10 Best Glute Bridge Exercises - No Equipment Buttocks Workout - Downloaded from clipmega.com (online-video-cutter.com).mp4_1_original,0
