Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path
"170.73534776264592,154.10007295719845","170.20513132295721,152.90749635214007","177.12509119649806,151.8596941877432","164.49990880350194,164.63203732976655","179.0560554474708,168.10604632782102","158.0294564688716,165.6381930933852","180.42675401264592,169.68807757782102","157.22258025291828,191.34099890564204","182.98603173638134,181.46285262645915","168.65507964494162,185.4462092655642","177.50589737354085,184.73505897373542","137.18515928988327,183.2833323200389","115.82686344844358,172.55306116245137","151.07058608949416,189.38937864785993","152.67433730544747,188.7834995136187","124.63198413180935,190.02944126945525","142.6844145184825,191.96598370622567",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_0_flipped\19.jpg
"169.57391476167317,154.75249270428014","168.6418865515564,151.00825328307394","173.46168227140078,151.51649136673151","164.18373054474708,160.2804596303502","179.2037785749027,165.85031614785993","150.5041190418288,166.35215527723736","179.52155277237355,172.12427042801556","155.2874057636187,190.91009545233464","180.55096364299612,182.5357642266537","167.09043652723736,184.01374027237355","175.34542193579767,183.53992886673151","110.14690995865759,173.12361685311285","114.11849464980546,172.87379924610894","150.35139530642024,188.3846364299611","143.29564384727627,174.02188715953307","125.69836758268482,188.8743920233463","126.44049428501945,188.02485104571986",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_0_flipped\25.jpg
"169.03725376945525,154.26889287451363","168.15178137159532,150.72528574902725","173.6744133025292,151.512828307393","163.69488691634243,160.4640533803502","179.5416464007782,165.27617339494162","150.1460663910506,166.28655459630352","179.81789579280155,171.53015564202335","155.26156675583658,189.64521522373542","181.38820829280155,183.05290916828795","167.94915795233464,185.4459660749027","175.8301617217899,184.83423516536965","135.8812317607004,184.18772799124514","115.58913697714009,173.37103295233464","150.01372507295721,186.4043804717899","143.48027115758754,173.79871412937743","124.56487110894942,187.4547057392996","143.38823869163426,189.85103052042803",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_0_flipped\31.jpg
"169.47147069552528,154.2314719114786","168.99855605544747,150.63756991731518","173.70117947470817,151.3229571984436","164.50138314688715,163.70285141050584","178.80524987840468,167.4139561040856","148.60840223735408,166.9317698200389","178.82814019941634,171.59329401750972","155.27179596303503,191.44561648832686","181.41348492217898,182.4014165856031","169.23227748054475,185.05699781128405","176.01538180933852,184.34069491731518","136.41073382782102,184.9718962791829","155.31566147859922,186.47856882295721","157.49957441634243,190.6890807392996","143.64009302042803,173.45548090953307","125.07570829280156,190.126687135214","125.87189931906615,189.3362262889105",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_0_flipped\37.jpg
"82.4302422786965,155.21601410505838","78.10012615515565,154.00915004863813","85.48002796692607,152.93056906614785","144.90684277723736,155.85809824902725","146.2675249270428,165.00226471303503","75.27726015321012,170.77653818093384","150.01366427529183,169.61825145914398","72.7261673151751,178.42295415856032","95.76903726896887,178.93807757782102","77.31784259484436,179.81477991245137","87.2241609922179,179.0461150291829","81.8288089737354,183.59197166828795","95.41403970087549,188.9288667315175","79.46194066147861,183.50098796206225","100.00537299367704,180.28029243677042","79.55206560068093,190.0321467655642","88.6568579766537,190.18965831712063",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_0_original\13.jpg
"89.46876519941634,192.4924002918288","144.92926191634243,161.64366488326849","89.6433456955253,188.40389409046693","142.7445130107004,164.03865211575877","109.73472458657588,186.52632538910507","71.42215618920234,174.8419564688716","148.2192515807393,170.696954036965","77.16644880836576,182.91737597276264","146.42081104085602,179.06420233463035","78.46206225680935,178.3804109922179","88.45938715953308,177.56417193579767","81.52916767996109,180.6764348249027","99.68740880350195,174.89114178015564","82.64545841439688,183.40000303988327","91.89214494163424,181.88045659046693","82.69436253647861,189.09723066634243","90.22842442850195,189.5862566877432",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_0_original\19.jpg
"90.49521218385215,193.0444734922179","144.00404304474708,159.5720300340467","90.12659593871595,189.48449659533074","86.01408985894942,192.97224586575877","110.91006505350195,188.04252796692606","71.88366366731518,177.46390138618676","145.97733767023345,167.9827182636187","77.94658925097276,183.53793774319067","144.31465831712063,179.17017266536965","78.34729146400778,177.56699902723736","87.33762463521401,176.85986138132296","80.68370774562257,179.64477444066148","143.10397920719845,178.94970513132296","77.73131991731518,182.17948990758754","89.3949796327821,181.64016901750972","82.38424124513618,188.71295902237355","89.94025869406615,189.50139834630352",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_0_original\25.jpg
"103.1008785262646,195.25889165856032","97.00361746108949,191.43360894941634","91.26946285262646,188.79588703793775","87.59608311040856,192.8014348249027","140.7619315418288,165.9846941877432","70.77250273589495,176.7138405885214","143.05873054474708,170.66304413910507","72.46870440175097,183.48866123540856","94.45276781371595,176.91422969357976","77.64041980787938,178.90798273346303","87.78584782344358,177.56634545233464","79.05763618677042,181.7808548151751","90.71242704280155,181.63597397859922","79.34085451118678,184.57769941634243","89.57836819066148,182.1465071741245","79.6691847033074,189.75434703307394","86.16504286235408,199.3567910992218",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_0_original\37.jpg
"92.40298212548639,192.31303197957197","97.27958566391051,192.00188472762648","92.25938563959144,188.61347884241246","81.36504438229572,183.78248115272373","113.2482596668288,189.63828428988327","71.11854024805447,177.81591986867704","145.76126276750972,172.79944370136187","75.84558912937743,182.4721546692607","95.37641354571984,175.68189141536965","78.62655034046692,177.17885153210116","88.18339615758755,176.25560858463035","79.85865302772373,179.98457259241246","97.128062682393,175.39907587548637","80.13271370379377,184.64491123540856","89.39951665856032,181.5321771643969","81.01006961332685,189.06552468385215","89.7273300705253,189.28374270428017",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_0_original\31.jpg
"173.04696619649806,175.12443762159532","171.21590770914398,170.28395549610894","93.62529638861868,166.3568974951362","159.04775656614785,168.37843506809338","109.43836636673151,160.7624787208171","147.71335420719845,187.0685189688716","148.53007964494162,176.85207928015564","154.57241001945525,200.81157283560313","142.53088521400778,201.5621048151751","167.48841804474708,192.59382599708172","168.14510882782102,178.32143725680933","135.9452061040856,193.26632417315176","135.24992400291828,194.27915248054475","150.83706225680933,153.3597701848249","151.94665004863813,151.24154912451363","177.3534320282101,187.31204401750972","176.61992339494162,186.59707867217898",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_1_flipped\105.jpg
"173.16123540856032,164.94316938229574","171.06061527237355,169.90365089980546","95.52669017509727,166.50003039883268","164.4984192607004,156.9718962791829","99.96859800583658,166.2141901750973","148.0767570525292,188.17952030642024","115.5734283803502,172.50582137645915","157.6010609192607,199.5913484922179","143.0232551070039,202.1848097033074","172.77580860894943,186.41584083171207","169.17822835603113,179.58083049610894","117.95698565175097,180.96548212548637","119.51808730544747,180.13250851167317","152.45181785019454,154.00360226167317","154.01135396400778,152.04499027237355","176.91562803988327,187.12787268968873","164.19614846789884,191.4872324902724",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_1_flipped\111.jpg
"173.05576665856032,174.27735894941634","171.42062864785993,169.24475620136187","171.6500486381323,169.93702881809338","160.2424002918288,168.04474708171207","101.68410293044747,167.56634545233464","149.83075449902725,188.19063107976655","130.18663363326849,157.5607368677043","157.93167862354085,199.29281675583658","141.83408317120623,201.65579401750972","173.99334265564204,186.8132599708171","170.1627401507782,181.76910566634243","121.26108037451363,161.07763861867704","134.11588035019454,157.06333596789884","156.4807879377432,176.71849160992218","156.09581712062257,173.70662086575877","176.82298759727627,187.20996473735408","175.7821467655642,186.40810432879377",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_1_flipped\129.jpg
"172.2245257782101,176.17927711575877","170.36458839980546,171.04638861867704","98.95491093142023,166.9087883025292","156.59306602626458,169.49135153210116","116.0409092290856,166.64506322957197","145.98420780642024,190.2194035749027","153.4903179717899,185.4686436040856","154.13457563229574,203.69382295719845","144.22207867217898,202.52667497568095","173.05146522373542,187.76519941634243","168.96651568579767,179.67084143968873","119.80955131322958,158.43575206712063","132.5101836089494,156.13565479085602","153.38114056420233,154.44908195525292","152.63142935311285,150.955921692607","177.37164092898834,187.51904486867704","176.7954462548638,186.78159958657588",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_1_flipped\117.jpg
"172.216485286965,174.36220209143968","170.9164944066148,170.02561101653697","101.12056177042801,165.72536174610894","158.62975741731518,168.83925097276264","115.35979298394942,165.9562408803502","146.95651446984436,189.4359952577821","131.50474221789884,157.3126063959144","155.34150048638134,199.47259545233464","142.86358523832686,201.4959113570039","172.83238083657588,186.96823321984436","170.17328854571986,180.89521522373542","121.20901477383269,159.5959995136187","134.57510031614785,156.95794321498056","153.7753070282101,156.81988691634243","150.64852869649806,151.37788788910507","177.64047300583658,187.5724252188716","176.8390533803502,186.78731456712063",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_1_flipped\123.jpg
"160.34645549610894,168.9352048881323","158.31035688229574,159.78083961575877","165.76948565175098,164.45660566634243","143.43043227140078,161.22554413910507","147.15074781128405,161.93724160992218","116.7291995987354,156.9917923151751","131.8709873540856,170.99586575875486","89.36387402723736,185.21954036964982","100.54749817607004,201.26513861867704","82.7520063229572,179.94464372568095","80.05090284533074,186.21669807879377","87.89333049610894,175.09230605544747","109.97520975194553,171.79421510214007","83.20931876215954,182.85671510214007","87.05117643482491,183.90020063229574","79.35800705252919,191.14293531128405","80.31591226896887,191.48169990272373",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_1_original\105.jpg
"159.82230362354085,170.45897677529183","158.638405885214,160.77238874027236","165.27023042315176,166.20833839980546","145.21324781128405,163.04044564688715","145.50338946984436,162.42869953793775","117.18708201605058,156.59089250972764","119.7033377918288,170.89725194552528","80.70283621108949,179.32233402237355","100.7851030520428,199.79664700875486","80.24514378647861,182.23356943093384","81.45813320768482,190.3715193336576","85.20382417315176,181.11946741245137","109.49955921692607,172.61271887159532","80.59294443093385,183.66131140564204","85.09646309581713,184.7216530885214","78.08128647859922,191.23721729085602","81.28127279912451,191.57365637159532",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_1_original\111.jpg
"162.51498662451363,169.9951969844358","160.21229024805447,160.4243525048638","167.78807453793775,166.14178015564204","144.3295993433852,160.68812317607004","176.95128587062257,174.6921206225681","117.32326878647861,156.75711332684824","131.1096941877432,169.93403453307394","79.87664153696498,179.31014409046693","101.01045719844358,200.18572166828795","79.56594266780155,180.81251519941634","81.23511977140078,188.28281553988327","85.3274942242218,180.05420111867704","126.32322318822958,180.0993737840467","81.34102170476653,182.50474221789884","86.1901370987354,183.59873540856032","77.97265625,191.19765321011673","81.04709539153697,191.42833475194553",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_1_original\123.jpg
"162.45686405642024,170.58577030642024","159.65539883268482,161.40687317607004","167.49604815175098,166.9975984922179","145.6337092655642,156.12971181906616","144.30866974708172,160.00098796206225","117.31041767996109,155.6782891536965","123.60410080252919,158.3062682392996","104.81993251459144,181.53352991245137","101.5575905885214,199.44268300097278","81.63368646643968,180.35542315175098","81.569468932393,188.76180994649806","86.09578672178988,179.2876641536965","126.98090193336576,183.3355423151751","82.23382782101167,182.60764226653697","86.51265351410505,183.694202942607","80.39550401264592,183.85224647373542","80.6505502188716,190.6508694066148",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_1_original\129.jpg
"161.03521704766538,169.52062560797665","158.79795415856032,160.53573382782102","167.32639226653697,165.77016962548637","144.9155368433852,162.17901872568095","146.07275960603113,163.4131657344358","122.21181146643968,158.80473309824902","120.8019972033074,171.69579888132296","106.56212001459144,181.04731578307394","100.45169625486382,200.46827881809338","82.17367613083658,180.63498601653697","81.00955283317121,188.69453732976655","87.54650261429961,178.07026690175098","126.490234375,179.05570586089493","82.7168500729572,180.33893178501947","86.36736989299611,181.4879620622568","80.69928714737354,184.4074659533074","81.79739937986382,185.03023163910507",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_1_original\117.jpg
"172.37519759241246,175.38319248540856","170.93515928988327,170.76357307879377","97.68062986381324,167.1978964007782","157.78102200875486,168.98784046692606","115.16299854085604,166.85943579766538","145.9473948200389,190.00834447957197","132.15620440175098,158.1169747081712","153.89577760214007,203.81333596789884","144.9920811040856,202.0298516536965","172.3785870622568,188.33937256809338","168.7134454036965,179.47603052042803","120.05706620865759,158.1478903210117","132.1749604815175,156.38285809824902","154.0426799610895,154.99879924610894","157.8378678258755,170.4289731274319","177.33972215466926,187.59479875972764","177.00036478599222,186.91429049124514",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_2_flipped\116.jpg
"175.72660809824902,171.50316147859922","170.9936618433852,169.88378526264592","100.1412329766537,166.95668166342412","158.68756079766538,168.46458535992218","116.27194795719845,165.61519637645915","147.05824416342412,188.81029608463035","132.32756262159532,157.26951605058366","155.87971181906616,199.04324233949416","143.01691695038912,201.08906857976655","173.31709022373542,185.90710116731518","170.50027358949416,180.752219114786","133.6065023103113,194.44858037451363","134.01317789396887,156.99211150291828","153.0510700389105,155.64828550583658","156.98493737840468,173.33975255350194","177.99230909533074,187.32867217898834","176.97758086089493,186.53112840466926",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_2_flipped\122.jpg
"175.11282526750972,171.00927164396887","171.42432210603113,169.1431025048638","171.5881262159533,169.68173942120623","159.9595695525292,167.5361898103113","114.66159259484436,165.08160566634243","152.17860834143968,159.18608645428014","150.60963339007782,175.79585663910507","157.25487901264592,198.41634241245137","142.64892388132296,201.24305386673151","173.22525535019454,187.01729693579767","170.63009180447472,182.1507630107004","120.77900808608949,160.67075024319067","119.75101076118678,180.57850498540856","156.02184156128405,176.26088278210116","156.37883025291828,173.32455313715954","176.77579340953307,187.7922087791829","176.09028453307394,186.7710055933852",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_2_flipped\128.jpg
"172.47431298638134,175.7227626459144","170.62337366245137,171.16815114299612","171.7553805933852,171.55912572957197","158.51424185311285,169.87886065175098","101.35963339007782,167.6177954766537","125.69948473978599,157.55746899319067","129.19617886673151,156.6271127188716","156.05031006809338,198.37568397373542","141.3106304717899,201.5746443336576","174.17717959630352,186.29445829280155","170.80476349708172,181.5378009484436","121.32414275291829,162.5138010700389","118.62563837548639,181.7028362110895","155.6857824659533,174.4671692607004","150.41678319552528,153.43705921692606","178.13659715466926,187.44367096303503","164.33838460603113,190.403985286965",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_2_flipped\134.jpg
"174.79623662451363,173.62838946984436","170.86390442607004,170.86352444066148","171.86060615272373,171.3165126459144","160.51228112840468,169.28284593871595","105.10199568336576,155.09128769455253","127.05080404912451,158.0148042315175","108.32057848978599,152.52703976167317","156.61355483949416,197.50234071011673","141.22432818579767,200.13430204280155","169.85194248540856,191.5087396643969","169.13253891050584,183.46118069066148","120.06488630836576,160.65576361867704","115.98456499270428,181.76488022859922","155.9628374270428,176.32225802529183","154.69946194066148,173.49765928988327","176.19979632782102,187.9907891536965","163.5065509484436,190.6139956225681",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_2_flipped\140.jpg
"162.02129438229574,169.78754255836577","159.00922604571986,160.60391840953307","167.64016901750972,165.75732611867704","144.38176374027236,160.80234678988327","145.2642266536965,162.40164457684824","116.96594570768482,156.53170598249028","120.26828489785993,171.1498662451362","93.09978416828794,183.10429839494165","101.02700176313229,200.49937682392996","80.3979359192607,180.44295659046693","81.26431025048639,188.2269880836576","86.2669169503891,180.15278453307394","126.32958414396887,181.2497112110895","80.62223370622569,182.94219661964982","84.9537329766537,184.09549793287937","78.08491913910505,190.90182696984436","80.9775124635214,191.392266536965",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_2_original\122.jpg
"161.36826665856032,170.32481152723736","158.8177741974708,160.59630350194553","166.72031553988327,167.1144972033074","144.01080678501947,155.6468263618677","145.56633025291828,160.45487293287937","117.75309308122569,155.5258694066148","126.60825784289884,158.87978781614785","106.74624574416343,181.73131991731518","101.05860134970817,200.2675553258755","81.33099768968872,180.46151507782102","80.90923668531128,187.71464615758754","87.42040825632296,177.71949477140078","109.9833718385214,170.55847215466926","82.26112597276264,182.31698382782102","86.43254499027238,183.46575571498056","79.96903118920234,184.8627340710117","81.35018695282102,185.51410505836577",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_2_original\116.jpg
"161.6171875,170.17713399805447","158.97952638618676,161.34028453307394","166.8801678015564,166.58262402723736","144.8993342655642,156.5367673881323","144.43646643968873,160.2157709143969","117.62068336575875,155.7029122081712","123.24673972519456,158.2062104815175","105.12269728842412,180.1191634241245","102.27281432392996,183.9282891536965","81.98250547178988,180.26817850194553","81.8283377918288,188.87895184824902","108.09428957928016,173.16409289883268","127.48747568093385,183.50259910019454","82.29638101896887,181.2908864299611","86.7637250729572,182.47312743190662","79.99414822470817,184.1745652966926","81.81766020184826,184.78143239299612",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_2_original\128.jpg
"161.25921084630352,170.5","158.78137159533074,160.70770002431908","167.18851836089493,166.76899927042803","145.6771035992218,161.01235712548637","137.01960724708172,163.26408985894943","117.5053045963035,155.1007721303502","130.05442910992218,167.56841257295721","104.06437712791829,181.47060432879377","90.28470026750973,185.2036265807393","81.41454888132296,180.299626094358","83.51669655885215,182.52422786964982","85.32844418774319,180.99627614299612","126.67023346303502,182.55274197470817","97.47805204280155,177.55894333657588","86.62024258268482,183.31335116731518","80.83679626702335,183.79410870622567","80.82840618920234,190.64217534046693",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_2_original\134.jpg
"160.70701605058366,167.1854632782101","156.65333171206225,159.54202638618676","164.8216804474708,164.26817850194553","144.87807028210116,152.38608037451363","143.7085663910506,156.2211515077821","144.03220756322958,158.73998358463035","124.64036660992218,158.1654912451362","107.42637402723736,178.74753769455253","102.61896583171206,182.14054900291828","81.9271035992218,179.77181116245137","81.37612475680935,187.77647738326849","99.30097884241245,175.9540521643969","122.86857064688716,177.94107186284046","99.08882538910505,176.26460663910507","86.21597610651752,182.16120500972764","80.18795598249028,183.77748054474708","80.24176191634241,191.41853112840468",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_2_original\140.jpg
"157.21721485894943,165.4835542315175","153.85814384727627,158.02395428015564","148.5,164.70279061284046","144.24515138618676,151.34341561284046","136.3747872081712,150.74122993677042","144.75706772859922,159.8819157344358","125.06288758511673,158.76053319552528","107.71583931177042,174.33049610894943","105.10372081712062,177.53979207198444","84.16419929474708,178.6927741974708","82.5275033438716,188.39892388132296","110.59226805690662,170.82005410992218","110.50003799854086,173.17635882782102","83.98448899562257,180.01629377431908","108.1033560311284,173.62738630836577","80.38744072227627,185.9839798151751","82.51000881566148,186.5250486381323",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_3_original\167.jpg
"155.21213825389106,165.92634362840468","152.30091804474708,158.07449233949416","79.63954584143968,163.0062013618677","144.62062256809338,151.50972762645915","137.3734192607004,151.0087396643969","144.77582380836577,160.17447410019454","124.20659806663424,158.53688898346303","107.5891065783074,179.03799854085602","105.64549641293775,182.24711211089493","83.39827030642023,179.48121352140078","81.89036660992218,189.27778453307394","143.73618373054475,184.32136125972764","128.81748540856032,185.95683365758754","83.71854480787938,180.23141111381324","108.96908438715954,172.84510274805447","81.31797938959144,184.5764682636187","82.74992400291829,185.35505836575877",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_3_original\161.jpg
"155.09490515564204,166.80876094357976","153.3919473492218,159.49805447470817","83.31033408317121,159.74706651264592","144.57847458657588,152.77817971789884","118.74743129863813,152.38377006322958","145.90881870136187,159.16831833657588","115.0165749635214,166.51025960603113","105.27573261186771,178.50445342898834","92.09524714250973,184.40995865758754","81.14145336819067,180.81984131809338","82.40137098735408,189.51241792315176","85.9951969844358,177.50115515564204","110.19775200632296,171.0415400048638","83.43736320525292,183.69733402237355","88.64085299124514,184.72622811284046","79.47903240515565,185.04512706712063","81.98657131566148,185.58342959630352",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_3_original\173.jpg
"155.43234739785993,170.70376337548637","153.46087670233464,162.16959508754863","82.6973188229572,157.60252006322958","144.26460663910507,159.40357490272373","93.3092017266537,156.7648042315175","143.169078307393,161.10001215953307","114.89444765321012,163.3701969844358","82.96917558365759,181.98929961089493","102.05724100194553,177.87398163910507","80.97853842412451,179.0580465710117","87.64403726896887,180.603249635214","84.5539731274319,177.90471485894943","122.31683943336576,178.8676890807393","82.2806952213035,183.10756626945525","89.25376945525292,184.29058244163426","79.65085420719845,188.93204340953307","85.60613752431907,189.65951787451363",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_3_original\185.jpg
"156.04327273832686,166.8497385700389","160.38308608949416,160.07437074416342","80.5651902966926,165.05309156128405","146.6137828307393,151.2346637889105","136.48840284533074,151.35052893968873","146.54812135214007,159.72171388618676","112.72128070282102,166.67344053988327","85.42483128647861,183.9734162208171","102.68890594601167,179.06517509727627","80.76506262159533,180.186344844358","85.30015807392996,181.21767084143968","86.03052802772373,178.9861989299611","111.07054049124514,171.93376094357976","82.1095345938716,185.54746777723736","87.80338035019456,186.1737749270428","76.57392996108949,189.58824781128405","81.09357520671206,190.1688959143969",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_3_original\179.jpg
"172.45590649319067,163.76851288910507","170.6972428258755,169.42570525291828","170.45984314202335,170.39934946498056","161.02342230058366,168.44693883754863","107.32967534046693,151.1683639348249","125.98093993190662,157.84864421206225","106.36110773346303,153.01988083657588","141.40599160992218,154.98887402723736","113.81405034046693,176.92078064202335","171.97302103599222,188.3730240758755","168.55047726167317,180.3112840466926","110.66987627675097,178.10516476167317","110.17325814688716,179.38799550097278","157.1945221303502,175.21875","155.93310736867704,172.06526629377433","177.17059824902725,187.91360651750972","176.08403757295721,187.32154365272373",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_3_flipped\161.jpg
"172.66540004863813,162.7117582684825","170.81085846303503,159.35191208657588","173.3090193336576,158.99154912451363","164.84846181906616,155.14521522373542","108.83828580982491,150.4202942607004","124.80053045963035,157.68081225680933","111.19279699659533,158.51830009727627","141.03549063715954,158.24984800583658","114.00543379134241,176.41167619163426","170.05240758754863,181.9471364299611","168.18365454766538,179.90275413424123","112.1117765077821,177.63045659046693","111.05661782587549,178.97729207198444","158.22893360894943,174.51466743677042","157.82734982976655,171.48525656614785","175.72791524805447,188.33326240272373","175.3115728356031,187.69015989785993",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_3_flipped\167.jpg
"172.27760214007782,162.83273042315176","170.32406675583658,159.91672239785993","117.24347185068093,154.66378891050584","164.08463035019454,167.36720269941634","111.296031432393,153.1430265077821","144.59824902723736,157.2632234922179","106.49357824659533,152.93189141536965","157.8134271643969,193.50854207198444","142.1708718385214,159.1517965710117","168.474875364786,185.54932210603113","167.53570342898834,179.41558244163426","112.58179565904669,177.5866974708171","131.08311040856032,167.86376763132296","155.43938472762648,177.25068397373542","148.7090679717899,167.0174489299611","173.36422361381324,186.97191147859922","174.23016476167317,186.16135700389106",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_3_flipped\173.jpg
"171.09938898346303,156.19131505350194","171.58896218385215,154.62656553988327","115.33045051070039,154.27664457684824","162.99413302529183,155.17363813229574","108.60128891050584,152.57598188229574","127.9633390077821,160.6101349708171","106.80645063229572,155.42696680447472","142.79904851653697,163.30739299610894","116.41794595087549,173.84827942607004","168.39744953793775,183.76288910505838","170.05152602140078,181.86214129377433","121.95070829280156,184.270640807393","110.92752158317121,181.1673151750973","154.67895792801556,179.3804109922179","146.8772951118677,168.15530763618676","165.3324264348249,191.05493069066148","167.0787329766537,190.30839615758754",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_3_flipped\179.jpg
"170.8529912451362,156.9330921692607","169.27670537451363,150.68829036964982","178.01526021400778,153.35665430447472","160.65447166828795,150.3765807392996","178.57698504377433,164.18114664396887","124.98711089494164,160.6597610651751","177.02235834143968,173.2112566877432","137.646750364786,169.18335055933852","116.0931420233463,172.69826118677042","165.66799914883268,181.0378465466926","173.61024136673151,180.30155642023345","110.44958353599222,181.11677711575877","107.68746200145914,182.27909168287937","153.28912329766538,179.42751398346303","156.69189263132296,177.65260214007782","142.91942789396887,190.69807879377433","142.92982429474708,189.42350133754863",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_3_flipped\185.jpg
"153.60732307879377,162.05912572957197","145.01550340466926,160.42986989299612","156.8782526750973,163.93585846303503","145.80581225680933,155.64247932879377","157.24893604085602,165.50566938229574","72.69819278939688,170.99984800583658","149.51630897373542,169.80813776750972","73.9446513253891,183.11577395428017","96.46732885457199,178.0797057392996","77.34472276264592,178.58513193093384","88.70950115515565,177.78802893968873","79.52031401994164,192.3530976410506","94.45892357733463,187.68525048638134","79.9631034168288,182.4322258025292","98.87796388618678,179.3117096303502","80.12015138618678,189.35058973735408","85.36635913180935,197.38030459630352",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_4_original\12.jpg
"96.18543287937743,194.7515351410506","144.74236989299612,161.8517752918288","91.23637372324903,188.0024319066148","142.595391536965,164.32327638618676","109.91274775048639,184.86322045233464","72.32885457198444,173.1480423151751","149.2758694066148,172.0733219844358","76.98802285992218,182.83280642023345","146.2744406614786,179.50600376945525","78.259188047179,178.51702334630352","87.81280398832685,178.22157709143968","81.42028666099222,181.06215041342412","99.26911326605058,176.6511277966926","83.27213794990273,182.82344357976655","93.30292436770428,183.8491305933852","82.40326331468872,189.66520245622567","89.32209843142023,189.99621534533074",ClamShells,..\Python\dataset\ClamShells\Clamshells for Glute Medius Activation _ GPS Human Performance.mp4_4_original\18.jpg
